"plot","CP3-012","CP3-014","CP3-2023-01","CP3-998","CP5-002","DryGB2-006","DryGB2-019","DryGB3-996","DryGB3-997","DryGB3-998","DryGB3-999","DryGB4-009","DryGB5-019","GB3-003","GB3-014","GB4-007","GB4-018","GB4-020","GB4-997","GB4-998","GB4-999","GB5-005","GB5-019x","GB6-011","GB6-999","GB7-002","GP3-008","GP3-997","GP3-999","GP4-999","GP5-005","PNWMtn3-008","PNWMtn7-012","RkyMtn4-015","RkyMtn4-017","RkyMtn4-999","RkyMtn5-015","RkyMtn5-017","RkyMtn5-999","RkyMtn6-010","RkyMtn7-999","WYBas2-006","WYBas3-014","WYBas3-999","WYBas4-010","WYBas4-019","WYBas4-999","WYBas5-020","WYBas5-999","WYBas6-007","WYBasX-001"
"DryGB5-019",151.831974466409,131.463406841119,156.585618679872,164.800506193153,120.463049303659,167.026957503205,157.194304139976,181.725265699007,150.931013744542,132.636056458493,157.375073213416,151.430309508025,147.161687961693,160.878187730669,120.030052634991,168.836052194942,158.734114166349,119.2704003371,179.920615105204,149.965708210073,128.504111372957,142.864258108421,163.810209369725,152.790300181887,167.940916642256,159.742543795019,132.341544814166,176.84095193344,174.652178234224,168.339925036881,159.053065747134,151.524799428412,177.845308108871,139.271595056544,155.715852473296,168.550326171647,174.517228274265,168.189481207342,166.201546847019,179.369204895808,182.496237160733,139.454427871447,129.671382996893,153.88438255151,165.403838712075,160.995286350629,146.96713814533,147.632133185558,172.228372755255,183.733069797475,145.964382820918
"GB3-003",87.0784210860845,78.6761365951934,88.8170704722508,93.9305784590691,74.7716626687316,96.1518863746115,90.8979625288522,99.4211597511299,86.7155564813404,79.3682649865562,90.3726681917893,86.6850949700144,85.7710449424143,91.8272484733325,75.939094466466,96.6467068988819,90.4867059500452,74.5339741388037,99.7346542694257,85.8673219595992,77.6183738312705,84.4571025813687,91.9917590163593,87.3701742417468,93.4539354120033,90.024522152636,78.8898442198246,97.1922907975938,96.6508688165783,93.8136490755472,89.6988166308572,87.8351277901244,98.9689869393066,82.0082458919047,88.2696926753668,94.9422624509703,96.5407560594212,94.5288918970747,92.6861890690986,98.1832280722552,99.7902347404739,82.0172821930889,77.7206665008147,87.9749417737847,92.3334239393316,90.4891254535592,85.1734424144191,85.2461300095527,95.7237971022157,100.921025649111,84.0698176847147
"GB3-014",129.615605325721,104.827197611441,131.577367112001,138.873373382992,93.0553990463338,140.506017652076,134.201704258925,145.606346509651,124.661839296086,103.685356658695,134.05025034801,124.856248388411,125.809074694164,135.838413246933,92.4453626326909,141.392101465996,133.810185072134,87.7147168336194,146.357646575069,125.218821172675,101.88013649206,122.242462666631,136.817361527717,129.804899659495,137.830370948927,131.483259758932,110.876555042996,143.69589877206,143.209295759055,136.571136838454,133.193291490881,129.958405305604,145.877544668138,115.618183529455,129.599101911565,140.335764905928,143.057422041799,140.048499355547,136.912036709496,144.798627887653,147.597034735898,115.477183898933,103.815855783055,130.775022474645,135.962371197765,133.703531668506,125.21765221704,125.31697081864,141.563596691636,148.690485581067,123.498037646538
"GB4-007",114.871162826294,103.838665746396,118.051661430227,122.892251090666,97.7616448878161,124.681082821512,118.482129349416,133.150359503511,114.329978078833,104.359158728136,118.336749254182,114.795382597128,112.299657073516,120.47256949133,98.1576670313138,125.761140580497,119.13971957531,96.0261930985814,131.987897784573,114.41343171506,102.228778461882,110.168476999508,122.442780821507,115.48804138848,125.167666911056,120.230894941254,103.587319619326,130.529971123352,129.043203976392,125.954154270495,119.571929385212,114.868520732442,130.859537354855,108.02233029015,117.741851038416,125.21318617341,129.053959553327,125.061716452491,124.199980196262,132.188097808484,133.965714741677,108.129256038675,102.507417627177,116.187649220795,123.759508599608,120.832397325952,112.093730744364,112.586801288732,127.655323407005,134.542269738963,111.680554932923
"GB4-018",86.1649511242457,75.847376593683,89.4586863011944,94.6354639720057,70.5743171858343,97.2299730024255,90.3903815649667,104.776331165135,86.7656858528843,77.5223680843758,89.9542315320166,87.1135936008924,83.8343514515044,92.3120270676499,71.7434804929909,98.0746592684192,90.9637929374996,71.9762023241514,103.939762951518,85.9816763132834,74.5358233076606,81.6787415197918,93.6842541074063,86.9518084019156,96.5933961426248,92.1534067720121,76.5204349818812,101.212406169183,100.065506344896,97.4969700217758,90.8153719626523,86.5275948669922,102.412940932044,79.3563890130863,89.3261835512886,96.8705797467429,100.136860329723,96.4984778402258,95.2741396763159,102.898935304763,104.844591459518,79.4836323947078,75.1008542668496,87.6459495531557,94.8721735945075,92.1908215183037,83.5042729346189,83.8863746403201,98.8468247479981,105.740832168237,82.9157225049916
"GB4-020",196.002783046558,162.209293560757,201.102881472075,209.39047144281,139.767243175755,211.857415974221,202.450639911735,226.372386528953,192.24024107791,161.723983437442,202.688782337769,192.720245379684,189.153075607361,206.495856120039,135.155271075552,213.689131850681,204.00607434603,133.919751899805,225.03331840564,190.964307243252,156.317662010704,182.421738868912,209.175873378355,197.16536602617,211.974840904772,202.057873104476,164.939789594164,220.646418358641,219.638054626486,208.633563445197,203.537995560754,195.831252886342,222.737950965855,176.391467038104,197.911445266851,214.205690993744,219.615427373949,213.986053242198,209.959896710798,222.814269347828,226.851128503233,176.560450487449,160.29363609732,198.615859151225,208.628361370481,205.1050674908,189.169840655456,189.735347764208,217.610921863392,228.458222430284,186.606984254812
"GB4-997",111.223170974249,97.2249699731282,115.056877763851,122.334792587232,89.5824187029045,124.830514166563,115.779931825301,134.96129569429,110.434189835052,98.365024422708,115.826814116937,110.991576106844,107.511156088005,118.55494125586,90.0809055603055,126.19200473671,116.525203744753,89.3106533787533,133.944941753749,111.058272953441,95.4539044037444,104.428370079389,121.101560660726,112.082213556625,124.58717498079,118.440910112758,98.6642736296113,132.17872558072,129.976372772335,127.051318246478,117.053872144345,110.994375948252,132.887328858683,101.864483601369,115.727651421794,124.977208342499,130.169730933681,124.890566736797,123.680341103299,134.531762740817,137.028871696673,102.007405213928,96.1810582304049,112.918421081179,123.222507193073,118.908525976496,107.334172214883,108.001697955269,127.899236262098,137.537895420022,107.247290462467
"GB4-998",130.509523925121,108.289192073695,134.048387919687,140.818798968917,95.1951554986414,143.187068788598,135.647824535929,151.316288909171,126.995214757886,107.105518878127,135.410203388916,127.356006069138,126.538788291428,137.796411591429,94.7891631240801,144.360102259696,135.74438836849,89.5105137240998,150.699731252088,128.920449405517,105.212467154648,122.999590395231,140.292168723807,131.640839245615,142.50564372021,135.94997212263,113.056326118278,148.890032059819,147.399530336722,144.280318740497,136.114405519646,130.948669152156,150.218981737459,118.107771031446,134.411603391497,143.443781475454,148.003830190018,143.405436467634,142.116124699121,151.30324054724,153.55971729898,117.982085891142,107.292943878559,132.610001842435,141.442292879027,137.50268059387,126.303200687121,126.909914800094,145.850640068285,153.930992304324,125.525082154986
"GB4-999",168.098005797987,130.38599177484,172.478330842032,184.142332864679,111.534044805759,186.28994292539,174.610758396662,195.932747823958,157.876798269334,128.898337008587,175.645023880989,159.887603689359,157.543360596008,178.848571500292,106.845424083799,188.028764475425,174.381410213624,104.267249328582,196.77452160006,162.908111798272,126.214994869571,148.809876939218,181.86099961149,168.234870267996,183.243917738049,172.880131720796,142.503356888471,192.343012422933,191.934920140853,180.62940782096,175.62481252977,166.180111521864,195.50497561201,143.094180185988,171.145484375709,187.305842502236,191.598183747804,187.120941007253,182.226545526607,193.531988516475,198.033549636053,143.221410463467,131.203530158057,169.856348449671,180.961159748519,177.305401583144,158.260551654616,159.381097797672,189.882508264605,200.43301086783,159.89747072379
"GB5-005",214.406337700944,174.810543391735,222.615207876167,232.538265989064,151.362170886478,235.760702848812,221.101200790066,258.83839478356,208.3617807673,175.502518581679,222.357339760153,210.821892392127,202.27037678805,228.403707991751,143.886217294078,238.636750666177,224.466428472865,145.733567798971,255.979730219888,209.655783293527,168.716393080171,191.223904092777,232.303374760068,214.912920841889,239.079243944441,225.871053362328,181.183209461691,250.114538825334,248.78221024264,234.688869594011,226.487788795714,211.403837775266,251.650094017564,187.220214848165,218.928078351277,240.19735759732,246.986714273987,239.006242015938,234.627434955264,252.407165001611,257.518429229356,187.995013300672,173.253206195276,216.773157970179,233.300165922953,229.479069485867,203.022446462526,204.4606546889,245.425212503684,260.619972212633,203.882501396959
