code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
MACA2,Machaeranthera canescens (Pursh) A. Gray,hoary tansyaster,Asteraceae,PF,PF
MAGR2,Machaeranthera grindelioides (Nutt.) Shinners,rayless tansyaster,Asteraceae,PF,PF
MATA2,Machaeranthera tanacetifolia (Kunth) Nees,tanseyleaf tansyaster,Asteraceae,AF,AF
MINU,Microseris nutans (Hook.) Sch. Bip.,nodding microseris,Asteraceae,PF,PF
NOTR2,Nothocalais troximoides (A. Gray) Greene,sagebrush false dandelion,Asteraceae,PF,PF
PACA15,Packera cana (Hook.) W.A. Weber & A. Love,woolly groundsel,Asteraceae,PF,PF
PAMU11,Packera multilobata (Torr. & A. Gray ex A. Gray) W.A. Weber & A. Love ,lobeleaf groundsel,Asteraceae,PF,PF
PAST10,Packera streptanthifolia (Greene) W.A. Weber & A. Love,Rocky Mountain groundsel,Asteraceae,PF,PF
PIDE4,Picrothamnus desertorum Nutt.,bud sagebrush,Asteraceae,SH,SH
PLSP7,Pleiacanthus spinosus (Nutt.) Rydb.,thorn skeletonweed,Asteraceae,SSH,SSH
SEIN2,Senecio integerrimus Nutt.,lambstongue ragwort,Asteraceae,PF,PF
SOMI2,Solidago missouriensis Nutt.,Missouri goldenrod,Asteraceae,PF,PF
STAC,Stenotus acaulis (Nutt.) Nutt.,stemless mock goldenweed,Asteraceae,PF,PF
STAR10,Stenotus armerioides Nutt.,thrift mock goldenweed,Asteraceae,PF,PF
SYER,Symphyotrichum ericoides (L.) G.L. Nesom,white heath aster,Asteraceae,PF,PF
SYFO2,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom,alpine leafybract aster,Asteraceae,PF,PF
SYMPH4PF,Symphyotrichum Nees,aster,Asteraceae,PF,PF
TALA2,Taraxacum laevigatum (Willd.) DC.,rock dandelion,Asteraceae,PF,PF
TECA2,Tetradymia canescens DC.,spineless horsebrush,Asteraceae,SH,SH
TEGL,Tetradymia glabrata Torr. & A. Gray,littleleaf horsebrush,Asteraceae,SH,SH
TENU2,Tetradymia nuttallii Torr. & A. Gray,Nuttall's horsebrush,Asteraceae,SH,SH
TESP2,Tetradymia spinosa Hook. & Arn.,shortspine horsebrush,Asteraceae,SH,SH
TEAC,Tetraneuris acaulis (Pursh) Greene,stemless four-nerve daisy,Asteraceae,PF,PF
TOFL5,Townsendia florifer (Hook.) A. Gray,showy Townsend daisy,Asteraceae,AF,AF
TOWNSPF,Townsendia Hook.,Townsend daisy,Asteraceae,PF,PF
TOIN,Townsendia incana Nutt.,hoary Townsend daisy,Asteraceae,PF,PF
TRDU,Tragopogon dubius Scop.,yellow salsify,Asteraceae,AF,AF
MARE11,Mahonia repens (Lindl.) G. Don,creeping barberry,Berberidaceae,SH,SH
AMTE3,Amsinckia tessellata A. Gray,bristly fiddleneck,Boraginaceae,AF,AF
CRAM3,Cryptantha ambigua (A. Gray) Greene,basin cryptantha,Boraginaceae,AF,AF
CRCI3,Cryptantha cinerea (Greene) Cronquist,James' cryptantha,Boraginaceae,PF,PF
CRCI2,Cryptantha circumscissa (Hook. & Arn.) I.M. Johnst.,cushion cryptantha,Boraginaceae,AF,AF
CRFE3,Cryptantha fendleri (A. Gray) Greene,sanddune cryptantha,Boraginaceae,AF,AF
CRHU2,Cryptantha humilis (A. Gray) Payson,roundspike cryptantha,Boraginaceae,PF,PF
CRYPTAF,Cryptantha Lehm. Ex G. Don,cryptantha,Boraginaceae,AF,AF
CRYPTPF,Cryptantha Lehm. Ex G. Don,cryptantha,Boraginaceae,PF,PF
CRPT,Cryptantha pterocarya (Torr.) Greene,wingnut cryptantha,Boraginaceae,AF,AF
CRRU4,Cryptantha rugulosa (Payson) Payson,wrinkled cryptantha,Boraginaceae,PF,PF
CRSP4,Cryptantha spiculifera (Piper) Payson,Snake River cryptantha,Boraginaceae,PF,PF
