"plot","transect","animal","age","count"
"WYBas3-999",1,"antelope","recent",6
"WYBas3-999",1,"antelope","old",2
"WYBas3-999",1,"deer","old",1
"WYBas3-999",2,"antelope","recent",5
"WYBas3-999",2,"deer","recent",3
"WYBas3-999",2,"deer","old",4
"WYBas3-999",3,"antelope","old",2
"WYBas3-999",3,"antelope","recent",2
"WYBas3-999",3,"deer","recent",2
"WYBas4-010",1,"antelope","old",2
"WYBas4-010",1,"deer","recent",1
"WYBas4-010",1,"elk","old",2
"WYBas4-010",2,"antelope","recent",1
"WYBas4-010",2,"cow","old",4
"WYBas4-010",2,"deer","recent",2
"WYBas4-010",2,"elk","old",2
"WYBas4-010",2,"elk","recent",1
"WYBas4-010",3,"cow","old",2
"WYBas4-010",3,"cow","recent",1
"WYBas4-010",3,"deer","old",2
"WYBas4-010",3,"elk","old",1
"WYBas4-010",3,"sagegrouse","old",4
"WYBas4-019",1,"cow","old",3
"WYBas4-019",1,"other","old",1
"WYBas4-019",2,"antelope","old",3
"WYBas4-019",2,"cow","old",4
"WYBas4-019",2,"sagegrouse","old",1
"WYBas4-019",3,"antelope","old",4
"WYBas4-019",3,"cow","old",1
"WYBas4-019",3,"other","old",1
"WYBas4-019",3,"sagegrouse","old",1
"WYBas4-999",1,"deer","old",7
"WYBas4-999",1,"deer","recent",8
"WYBas4-999",1,"elk","recent",3
"WYBas4-999",1,"elk","old",1
"WYBas4-999",2,"deer","recent",10
"WYBas4-999",2,"deer","old",6
"WYBas4-999",2,"elk","recent",2
"WYBas4-999",2,"elk","old",2
"WYBas4-999",3,"deer","recent",8
"WYBas4-999",3,"deer","old",6
"WYBas4-999",3,"elk","old",6
"WYBas4-999",3,"elk","recent",1
"WYBas5-020",1,"antelope","recent",1
"WYBas5-020",1,"deer","recent",4
"WYBas5-020",1,"deer","old",3
"WYBas5-020",1,"sagegrouse","recent",1
"WYBas5-020",2,"antelope","recent",1
"WYBas5-020",2,"deer","old",4
"WYBas5-020",2,"deer","recent",2
"WYBas5-020",2,"sagegrouse","old",4
"WYBas5-020",3,"antelope","recent",2
"WYBas5-020",3,"deer","old",1
"WYBas5-020",3,"deer","recent",1
"WYBas5-020",3,"sagegrouse","old",2
"WYBas5-999",1,"antelope","old",3
"WYBas5-999",1,"cow","old",2
"WYBas5-999",1,"deer","old",3
"WYBas5-999",1,"deer","recent",3
"WYBas5-999",1,"elk","recent",2
"WYBas5-999",1,"elk","old",2
